store_id;store_name;store_address;store_location;description
1;Омега;город Москва, улица Новаторов, дом 4, корпус 8;[55.665135883,37.516913389];в центре села, напротив церкви
2;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912];
3;Сигма;город Москва, улица Демьяна Бедного, дом 8;[55.772185093,37.488024823];
4;Альфа;город Москва, Гвардейская улица, дом 15, корпус 2;[55.724743484,37.422065222];
5;Эта;город Москва, улица Вилиса Лациса, дом 23, корпус 2;[55.862016728,37.422337259];
6;Дельта;город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;[55.63799676,37.590931324];Удобнее добираться на автомобиле.
7;Эпсилон;город Москва, Ореховый проезд, дом 17, корпус 2;[55.623839092,37.734113107];
8;Йота;город Москва, улица Газопровод, дом 9А;[55.591001279,37.606876613];
9;Дзета;город Москва, Рязанский проспект, дом 2, строение 24;[55.730702846,37.735875581];
10;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174];
11;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997];
12;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792];
13;STORE_13;обл Ярославская,р-н Ростовский,с Дмитриановское,ул Кузьмина,д 31;;автобус № 151«Ростов – Воронино – Дуброво» до остановки «Село Дмитриановское»
14;STORE_14;обл Ярославская,р-н Ростовский,с Шурскол,ул Квартал В,д 7;;
15;STORE_15;обл Саратовская,р-н Новоузенский,с Киевка,ул Центральная,д 37;;
16;STORE_16;обл Кировская,р-н Верхошижемский,д Пунгино,ул Советская,стр 4;;
17;STORE_17;обл Ярославская,р-н Ростовский,с Марково,д 11а;;
18;STORE_18;обл Белгородская,р-н Белгородский,п Малиновка,ул Мирная,д 46;;
19;STORE_19;Респ Башкортостан,р-н Иглинский,с Иглино,ул Свердлова,д 15;;
20;STORE_20;Респ Башкортостан,р-н Иглинский,с Балтика,ул Центральная,д 45;;
21;STORE_21;обл Кемеровская область - Кузбасс,р-н Яйский,д Марьевка,ул Школьная,д 4а;;
22;STORE_22;край Красноярский,р-н Курагинский,с Черемшанка,ул Октябрьская,д 51;;в центре села
23;STORE_23;обл Ярославская,р-н Некрасовский,д Грешнево,ул Центральная;;
24;STORE_24;обл Ярославская,р-н Некрасовский,д Заболотье,ул Школьная;;
25;STORE_25;край Красноярский,р-н Курагинский,п Прудный,ул Клубная,д 1;;в центре поселка, рядом с начальной школой и сельским ФАПом
26;STORE_26;обл Ярославская,р-н Некрасовский,рп Некрасовское;;
27;STORE_27;обл Московская,р-н Луховицкий,с.Нижне-Маслово,ул Центральная,д 134-а;;
28;STORE_28;обл Московская,р-н Луховицкий,д Павловское,ул Молодежная,д 6-а;;
29;STORE_29;обл Московская,р-н Луховицкий,с Дединово,ул Шашина,д 6;;
30;STORE_30;обл Московская,р-н Луховицкий,д. Лисьи норы,ул Околопрудная,д 20а/2;;
31;STORE_31;обл Московская,р-н Луховицкий,с Дединово,ул Набережная,д 4;;
32;STORE_32;обл Московская,р-н Луховицкий,село Ловцы,Октябрьской революции,19;;
33;STORE_33;обл Московская,р-н Луховицкий,п Газопроводск,ул Центральная,д 17;;
34;STORE_34;Респ Башкортостан,р-н Дуванский,с Метели,ул Советская,д 38;;
35;STORE_35;обл Брянская,р-н Брянский,п Мичуринский,ул Выставочная,д 6;;
36;STORE_36;обл Ярославская,р-н Некрасовский,с Диево-Городище,ул Ярославская,д 6;;
